# name	latitude	longitude
Pakistan	30.3753	69.3451
Islamabad Capital Territory	33.6844	73.0479
Punjab	31.1471	75.3412
Sindh	25.8943	68.5247
Khyber Pakhtunkhwa	34.9526	72.3311
Balochistan	28.4900	65.0958
